EmpID,ProjectID,DateFrom,DateTo
119,543,2022-10-15,2023-04-05
109,544,2023-06-10,NULL
101,544,2023-06-25,NULL
111,545,2021-09-01,2022-02-28
103,545,2021-09-15,2022-02-28
112,546,2024-01-05,2024-07-20
105,546,2024-01-20,2024-06-30
114,547,2022-02-10,2022-08-18
106,547,2022-02-25,2022-07-31
117,548,2022-10-01,2023-03-25
108,548,2022-10-15,2023-03-10
118,549,2023-01-20,NULL
110,549,2023-02-05,NULL
119,550,2023-06-01,2024-01-15
104,550,2023-06-15,2024-01-01
101,551,2019-05-10,2020-08-15
115,551,2019-05-20,2020-08-01
102,552,2020-09-01,NULL
116,552,2020-09-15,2022-12-31
103,553,2021-10-20,2022-04-25
117,553,2021-11-05,2022-04-10
120,554,2022-05-15,2023-01-30
105,554,2022-06-01,2023-01-30
106,555,2021-02-01,2021-09-01
107,555,2021-02-15,2021-08-15
108,556,2023-05-01,NULL
109,556,2023-05-10,NULL
111,557,2022-03-01,2022-10-10
112,557,2022-03-15,2022-09-20
113,558,2021-06-10,2022-01-20
114,558,2021-06-25,2022-01-05
115,559,2023-08-01,2024-02-28
118,559,2023-08-15,2024-02-15
119,560,2024-04-01,NULL
101,560,2024-04-10,NULL
102,561,2019-11-01,2020-05-15
104,561,2019-11-15,2020-04-30
103,562,2020-08-01,2021-02-28
105,562,2020-08-20,2021-02-28
106,563,2021-09-10,2022-03-15
108,563,2021-09-25,2022-03-01
107,564,2023-01-05,2023-08-20
110,564,2023-01-20,2023-07-31
111,565,2022-11-01,NULL
113,565,2022-11-15,2024-01-20
112,566,2023-07-10,2024-01-25
115,566,2023-07-25,2024-01-10
114,567,2022-09-01,2023-04-15
116,567,2022-09-20,2023-04-01
117,568,2023-04-01,2023-11-01
120,568,2023-04-15,2023-10-15
118,569,2024-02-01,NULL
119,569,2024-02-10,NULL
101,570,2021-01-01,2023-12-31
102,570,2021-01-15,2023-12-31
103,571,2019-06-10,2020-01-20
113,571,2019-06-20,2020-01-05
104,572,2021-03-01,2021-09-15
114,572,2021-03-10,2021-08-31
105,573,2022-04-01,2022-11-30
115,573,2022-04-15,2022-11-15
106,574,2020-10-01,2021-05-20
116,574,2020-10-20,2021-05-01
107,575,2023-09-01,NULL
117,575,2023-09-15,NULL
108,576,2022-06-10,2023-01-10
118,576,2022-06-25,2022-12-20
109,577,2021-08-01,2022-02-28
119,577,2021-08-15,2022-02-15
110,578,2023-10-01,2024-04-15
120,578,2023-10-15,2024-03-31
111,579,2022-01-15,2022-07-20
101,579,2022-01-25,2022-07-05
112,580,2023-03-01,NULL
102,580,2023-03-15,NULL
113,581,2021-12-01,2022-06-10
103,581,2021-12-15,2022-05-25
114,582,2023-02-15,2023-09-20
104,582,2023-03-01,2023-09-01
115,583,2022-07-01,2023-01-15
105,583,2022-07-15,2023-01-01
116,584,2021-04-10,2021-10-25
106,584,2021-04-25,2021-10-10
117,585,2023-11-01,NULL
107,585,2023-11-15,NULL
118,586,2022-12-01,2023-05-30
108,586,2022-12-15,2023-05-15
119,587,2021-10-01,2022-04-20
109,587,2021-10-15,2022-04-05
120,588,2024-01-10,2024-08-30
110,588,2024-01-25,2024-08-15
101,589,2022-08-01,2023-02-28
111,589,2022-08-15,2023-02-15
102,590,2023-04-01,2023-11-10
112,590,2023-04-15,2023-10-25
103,591,2022-05-01,2022-12-15
113,591,2022-05-20,2022-11-30
104,592,2023-09-10,NULL
114,592,2023-09-25,NULL
105,593,2022-10-01,2023-05-20
115,593,2022-10-15,2023-05-05
106,594,2021-07-01,2022-01-25
116,594,2021-07-20,2022-01-10
107,595,2024-02-01,2024-09-15
117,595,2024-02-15,2024-08-31
108,596,2023-01-15,2023-08-10
118,596,2023-02-01,2023-07-25
109,597,2022-03-01,2022-10-01
119,597,2022-03-15,2022-09-15
110,598,2024-05-01,NULL
120,598,2024-05-15,NULL
111,599,2022-09-01,2023-03-31
101,599,2022-09-15,2023-03-15
112,600,2023-12-01,2024-07-15
102,600,2023-12-15,2024-06-30
143,601,2015-01-01,2018-12-31
218,601,2015-01-01,2018-12-31
143,602,2019-01-01,2022-12-31
218,602,2019-01-01,NULL
143,603,2020-01-01,2020-03-01
218,603,2020-02-15,2020-05-15
110,604,2021-10-01,2024-01-01
115,604,2021-11-01,2023-12-01
112,605,2020-05-01,2021-05-01
118,605,2020-05-01,2021-05-01
101,606,2023-01-01,2023-02-01
102,606,2023-01-15,2023-02-15
105,607,2022-11-10,2023-03-10
109,607,2022-11-20,2023-03-01
114,608,2021-09-15,2022-09-15
119,608,2021-09-15,2022-09-15
111,609,2020-07-07,2021-06-06
120,609,2020-08-08,2021-05-05
104,610,2022-08-01,2023-08-01
108,610,2022-08-01,2023-07-31
116,611,2021-01-01,2021-06-01
103,611,2021-01-15,2021-06-15
107,612,2023-05-01,2023-12-31
113,612,2023-05-15,2023-12-15
117,613,2022-04-01,2022-10-01
102,613,2022-04-01,2022-10-01
101,614,2024-01-01,NULL
118,614,2024-01-15,NULL
110,615,2023-09-01,2024-03-01
105,615,2023-09-15,2024-02-15
112,616,2022-07-10,2023-01-10
115,616,2022-07-20,2023-01-20
119,617,2021-06-01,2021-12-01
104,617,2021-06-15,2021-11-15
108,618,2022-05-05,2022-11-05
114,618,2022-05-20,2022-10-20
101,512,2024-01-01,2024-05-01
102,512,2024-01-01,2024-05-01
